code; name; state; owner; latitude; longitude; kind; size; difficulty; terrain; status; hidden_date; founds; not_founds; favourites; altitude
GCQC0V;Lenda Do Galo de Barcelos;BRAGA;ar-my;41.5282;-8.622067;MULTI;SMALL;2;1.5;AVAILABLE;2005/08/29;361;21;4;17
GCZP2A;Chromite - FeOCr2O3 - DP/EC5;BRAGANCA;danieloliveira;41.802433;-6.88395;EARTHCACHE;NOT_CHOSEN;1;1.5;AVAILABLE;2006/12/05;62;2;2;838
GCMAM8;A Lagoa [Obidos];LEIRIA;paulohercules;39.390417;-9.225283;TRADITIONAL;REGULAR;2;2;AVAILABLE;2004/12/22;703;9;3;19
GCXW7V;Serra de Alvaiazere;LEIRIA;Paulo Martins;39.8271;-8.411533;TRADITIONAL;REGULAR;1.5;2.5;AVAILABLE;2006/08/21;244;3;3;605
GC14XQQ;ALDEIA DA PENA I;VISEU;eterlusitano;40.876383;-8.080267;TRADITIONAL;SMALL;3.5;4.5;AVAILABLE;2007/08/05;133;2;37;-9999999
GC15999;CABECEIRAS A VISTA;BRAGA;eterlusitano;41.490767;-8.02445;TRADITIONAL;REGULAR;2.5;2;AVAILABLE;2007/08/20;60;2;2;750
GC16ZE4;Cais do Ginjal [Cacilhas];SETUBAL;tmob;38.6874;-9.152283;MULTI;REGULAR;2;2;AVAILABLE;2007/10/26;487;24;18;11
GC166CQ;Talasnal;COIMBRA;almeidara;40.09255;-8.227067;TRADITIONAL;REGULAR;2;2;AVAILABLE;2007/09/23;428;8;35;472
GCN3NX;CEM CACHES [Sintra];LISBOA;Portelada;38.770633;-9.454083;TRADITIONAL;REGULAR;1.5;3;AVAILABLE;2005/03/14;516;12;65;459
GCMG50;Serra da Estrela - Aldeia Vicosa;GUARDA;meiolimao;40.5846;-7.327983;TRADITIONAL;SMALL;3;3;AVAILABLE;2004/12/30;111;9;1;717
GC15MQC;Make the Audience Suffer!;FARO;Team Caracache;37.099617;-8.671783;PUZZLE;MICRO;3;2.5;AVAILABLE;2007/09/03;148;15;17;13
GCX4WA;The Battle [Sao Pedro das Cabecas];BEJA;CrisLuiz;37.6778;-8.035417;TRADITIONAL;REGULAR;1.5;1.5;AVAILABLE;2006/07/14;276;2;8;234
GCZM6R;Caldas de Monchique;FARO;ShadowLord;37.28475;-8.55405;MULTI;REGULAR;2;3;AVAILABLE;2006/12/01;315;50;38;207
GCGQQ3;STAR MOUNTAIN;CASTELO BRANCO;jppina;40.31355;-7.574767;MULTI;MICRO;3;2;AVAILABLE;2003/08/24;117;27;11;1603
GC1030Y;Abutres!;CASTELO BRANCO;MAntunes;39.66005;-7.175167;MULTI;REGULAR;2;2.5;AVAILABLE;2006/12/29;31;1;11;161
GC15JX8;The Lagos 6+1: #3 - Bensafrim;FARO;Team Caracache;37.155333;-8.73355;MULTI;SMALL;1.5;3.5;AVAILABLE;2007/09/01;136;13;10;24
GC15APY;A cache no centro [Charneca Caparica];SETUBAL;almeidara;38.589833;-9.198667;PUZZLE;MICRO;2.5;1.5;AVAILABLE;2007/08/21;175;8;2;63
GCP877;Marconi [Oeiras];LISBOA;nunogil;38.7189;-9.242033;TRADITIONAL;SMALL;1.5;1.5;AVAILABLE;2005/06/09;462;31;2;-9999999
GCMK6J;Linhas de Torres - Forte de Ribas [Loures];LISBOA;lamas;38.895;-9.1625;TRADITIONAL;REGULAR;1;2;AVAILABLE;2005/01/23;309;5;2;-9999999
GC11PQH;ABOBOREIRA;PORTO;eterlusitano;41.16155;-8.0321;MULTI;REGULAR;2;3;AVAILABLE;2007/03/24;49;4;0;547
GCM6WW;Penas do Castelo [Porto de Mos];LEIRIA;olharapo;39.57615;-8.805617;TRADITIONAL;REGULAR;2;3;AVAILABLE;2004/12/03;228;31;63;322
GC176VF;Mata da Margaraca [Arganil];COIMBRA;riraposo;40.215733;-7.918617;TRADITIONAL;REGULAR;1.5;2.5;AVAILABLE;2007/11/05;369;5;18;576
GC54DD;Last Home of Gertrude [Mafra];LISBOA;MikeAndCows;38.88511;-9.3433;TRADITIONAL;REGULAR;3;3;AVAILABLE;2002/05/05;414;2;101;-9999999
GC10FGA;Linhas de Torres e as Comunicacoes [Ponte do Rol];LISBOA;almeidara;39.08675;-9.32305;TRADITIONAL;REGULAR;1;1.5;AVAILABLE;2007/01/20;355;14;3;29
GC1196Z;MARAGOUTOS ;PORTO;eterlusitano;41.3264;-8.272233;MULTI;REGULAR;2;2.5;AVAILABLE;2007/03/01;87;8;7;483
GC16Z5X;COSTA RASA VULGO TALEFE (VG);PORTO;eterlusitano;41.132483;-8.018883;TRADITIONAL;SMALL;3;2.5;AVAILABLE;2007/10/26;30;5;1;690
GCT9EM;Pomarao;BEJA;clcortez;37.55375;-7.525767;TRADITIONAL;REGULAR;3;2.5;AVAILABLE;2006/01/30;82;2;8;12
GC14ZY4;Armona [Olhao];FARO;FamiliaSilvestre;37.016433;-7.79615;TRADITIONAL;SMALL;1.5;1.5;AVAILABLE;2007/08/02;276;30;6;1
GC12PBC;Letterbox Ti Jacinto [Alenquer];LISBOA;mtrevas;39.067367;-9.083333;LETTERBOX;REGULAR;3;2;AVAILABLE;2007/05/06;122;3;26;135
GC133A0;Maia Central;PORTO;kidloco;41.23395;-8.6223;TRADITIONAL;MICRO;3;1;AVAILABLE;2007/05/25;374;54;0;98
GC10701;Mosteiro de Santa Clara (Vila do Conde);PORTO;Jafqa;41.35335;-8.739133;TRADITIONAL;SMALL;1;1;AVAILABLE;2007/01/05;1350;21;22;22
GC14VBV;Duas Barragens TB Country Hotel [Silves];FARO;clcortez;37.2556;-8.380717;TRADITIONAL;LARGE;1.5;2;AVAILABLE;2007/09/09;420;3;8;104
GC10GWX;Quatrim do Sul [Olhao];FARO;Torgut;37.035017;-7.7992;TRADITIONAL;REGULAR;2;2;DISABLED;2007/01/22;363;25;5;1
GC13MBF;Ar;VILA REAL;Reino Maravilhoso;41.1726;-7.672433;MULTI;REGULAR;2;2;AVAILABLE;2007/06/14;76;6;4;616
GC32B5;Prehistory Repeating;BRAGA;plntrplntr;41.5284;-8.3148;TRADITIONAL;REGULAR;3.5;2.5;AVAILABLE;2002/01/14;204;2;15;304
GCVZ7D;GnE II d - Oferta de emprego: Pirata! [Cascais];LISBOA;rebordao;38.750367;-9.471583;TRADITIONAL;SMALL;2.5;4;AVAILABLE;2006/05/10;250;6;57;31
GC10QPE;Quinta das Campainhas;LISBOA;juquinha;38.746533;-9.182467;MULTI;MICRO;2;1;AVAILABLE;2007/02/04;284;13;6;76
GCW245;cache motard;FARO;jorgefjr;37.116867;-8.012283;TRADITIONAL;REGULAR;2.5;3;AVAILABLE;2006/05/14;325;8;1;-9999999
GC12RWF;Woodpecker Club;PORTO;kidloco;41.152867;-8.658867;PUZZLE;MICRO;3.5;1.5;AVAILABLE;2007/05/10;228;3;11;30
GC14BD9;ST01 - SANTA MARTA DAS CORTICAS;BRAGA;SPY_Team;41.5145;-8.395533;MULTI;REGULAR;2.5;1.5;AVAILABLE;2007/07/14;259;7;2;543
GCTGMM;Real Barraca [Lisboa];LISBOA;btrodrigues;38.707983;-9.197367;TRADITIONAL;MICRO;1;1;AVAILABLE;2006/02/18;752;79;5;82
GC12B19;Vista Armona [Olhao];FARO;alieri;37.029533;-7.81245;TRADITIONAL;SMALL;2;2;AVAILABLE;2007/04/21;417;19;8;3
GCW2P4;Brecha da Arrabida;SETUBAL;paulohercules;38.4579;-9.009833;TRADITIONAL;REGULAR;1.5;2;AVAILABLE;2006/05/16;556;16;24;182
GCKYQH;Chafariz de Loures;LISBOA;clcortez;38.830283;-9.16755;MULTI;REGULAR;2.5;2;AVAILABLE;2004/10/30;283;21;44;22
GC1529A;Ponte da Panchorra;VISEU;blk.ngel;41.01435;-7.9755;TRADITIONAL;REGULAR;2;3;AVAILABLE;2007/08/11;109;6;6;1031
GC118B7;Fonte do Pedro;PORTO;emlino;41.4427;-8.678333;TRADITIONAL;SMALL;2;2.5;AVAILABLE;2007/03/03;231;10;1;101
GCXYCD;Cerro da Villa [Vilamoura - Loule];FARO;jcr;37.080033;-8.119533;MULTI;REGULAR;2.5;1.5;AVAILABLE;2006/08/24;355;16;10;8
